order,hiragana,kanji,meaning,category,example,romaji,level
0,～えん,円,... yen,unit,"これは 10,000円です。This is 10,000 yen.",en,1
1,～かい,階,... floor,unit,わたしの へやは 2かいです。My room is on the second floor.,kai,1
2,～かい,回,... times,unit,このえいがを 2かい みました。I watched this movie twice.,kai,1
3,～かかん,,for ... day(s),unit,"いちに、ふつか(かん)、みっかかん・・・  One, two, three days",kakan,1
4,～かげつ,月,(for) ... month(s),unit,"いっか月、にか月、さんか月・・・ One month, two months, three months ...",kagetsu,1
5,～がつ,,... month,unit,"1月、2月、3月・・・  January, February, March ...",gatsu,1
6,～がります,,(third person) wants to ...  [「〜たい」のstem]＋[てform of がります]＋ います,action,こどもたちは ディズニーランドにいきたがっています。Children want to go to Disneyland.,garimasu,1
7,～がわ,側,... side,unit,ひだりがわを あるきます。Walk on the left side.,gawa,1
8,～くらい/ぐらい,,about ...,time,2じかんぐらい べんきょうしました。I studied for about 2 hours.,kurai/gurai,1
9,～こ,,counter for small object,unit,"いっこ、にこ、さんこ・・・  1, 2, 3 (small objects) ...",ko,1
10,～ごろ,頃,around ... (for time),time,2じごろに そちらに いきます。I will go there around 2 o'clock.,goro,1
11,～さい,歳,... year(s) old,unit,"いっさい、にさい、さんさい・・・ 1 year old, 2 years old, 3 years old ...",sai,1
12,～さつ,冊,counter for book,unit,"いっさつ、にさつ、さんさつ・・・ 1 book, 2 books, 3 books ...",satsu,1
13,～じ,時,... o'clock,unit,いま 3時です。It's 3 o'clock now.,ji,2
14,～しゅうかん,週間,(for) ... week(s),unit,"1週間、2週間、3週間・・・  1 week, 2 weeks, 3 weeks ...",shuukan,2
15,～じん,人,"...an, ...ese",unit,"にほん人、アメリカ人、ドイツ人・・・ Japanese, American, German ...",jin,2
16,～すぎ,過ぎ,"past, over",time,2じすぎに とうきょうに つきます。I will arrive in Tokyo after 2 o'clock.,sugi,1
17,～ずつ,,... each,atomic,これと これを ２つずつ ください。Please give me two of this and two of this.,zutsu,1
18,～だい,台,counter for machine,unit,"いちだい、にだい、さんだい・・・ one, two three (machines)",dai,2
19,～たち,,"...s, ... and others",atomic,"わたしたち、こどもたち、あのひとたち。We, Children, Those people",tachi,1
20,～ちゅう,中,"be in middle of ..., (during) in ...",time,いま かいぎ中です。I'm in a meeting now.,chuu,1
21,～つ,箇,counter for object,unit,コーヒーを 3つ ください。Please give me three coffees.,tsu,2
22,～ど,,... time(s),unit,もういちど いってください。Please say that again.,do,2
23,～にち,日,"...st, ...nd, ...th",unit,きょうは 12日です。Today is the 12th.,nichi,2
24,～にん,人,counter for person,unit,"ひとり、ふたり、さん人、よ人、ご人・・・  one, two three, four, five (person)",nin,2
25,～ねん,年,... years,unit,"2030年, 2040年, 2050年",nen,2
26,～はい/ばい/ぱい,杯,cups of ...,unit,"いっぱい、にはい、さんばい・・・ one, two three (cup of ...)",hai/bai/pai,2
27,～ひき/びき/ぴき,匹,counter for animal,unit,"いっぴき、にひき、さんびき・・・ one (animal), two (animals), three (animals)",hiki/biki/piki,3
28,～ふん/ぷん,分,... minute(s),unit,"いっぷん、にふん、さんぷん・・・ 1 minute, 2 minutes, 3 minutes",fun/Pun,3
29,～ほん/ぼん/ぽん,本,counter for long object,unit,かさが 3本 あります。I have three umbrellas.,hon/bon/pon,3
30,～まい,枚,counter for thin object,unit,かみを １まい ください。Please give me a piece of paper.,Mai,3
31,～や,家,"... store, ... shop",places,"すしや、さかなや、にくや、ケーキや...  Sushi shop, Fish shop, Butcher shop, Cake shop ...",ya,1
32,あ,,"Ah!, Oh!",sentence,,a,1
33,ああ,,Ah!,sentence,,aa,1
34,あう,会う,to meet,action,ともだちに/と 会います。I will see my friend.,au,1
35,あお,青,blue,color,あおいボールペン。Blue ballpoint pen,Ao,1
36,あおい,青い,blue,iadj,あおいボールペン。Blue ballpoint pen,Aoi,1
37,あか,赤,red,color,赤で かきます。Write in red.,aka,1
38,あかい,赤い,red,iadj,赤いボールペン  Red ballpoint pen,akai,1
39,あがる,上がる,go up,action,エレベーターで 15かいに あがります。Take the elevator to the 15th floor.,agarimasu,1
40,あかるい,明い,bright,iadj,このへやは あかるいです。The room is bright.,akarui,1
41,あき,秋,autumn,nature,あきが すきです。I like autumn.,aki,1
42,あく,開く,"to open, to become open",action,ドアが あきます。The door opens.,aku,1
43,あける,開ける,to open,action,わたしは ドアをあけます。I open the door.,akeru,1
44,あげる,上げる,to give,action,ははの たんじょうびに プレゼントを あげました。I gave a present on my mother's birthday.,ageru,1
45,あさ,朝,morning,time,あしたの 朝は 6じに おきます。 I will get up at 6 o'clock tomorrow morning.,asa,1
46,あさごはん,朝御飯,breakfast,food,もう 朝ごはんを たべましたか。 Have you eaten breakfast yet?,asagohan,1
47,あさって,,day after tomorrow,time,あさっては にほんごの テストです。The day after tomorrow will be a Japanese test.,asatte,1
48,あし,足,"foot, leg",body,かのじょは足が ながいです。 She has long legs.,ashi,1
49,あした,明日,tomorrow,time,では、また あした。See you tomorrow.,ashita,1
50,あそこ,,over there,direction,あそこで バスに のります。Get on the bus over there.,asoko,1
51,あそぶ,遊ぶ,"to play, to make a visit",action,こどもは よく こうえんで あそびます。Children often play in the park.,asobu,1
52,あたたかい,暖かい,warm,iadj,きょうは きのうより あたたかいです。Today is warmer than yesterday.,atatakai,1
53,あたま,頭,head,body,かれは とても あたまが いいです。He is very smart.,atama,1
54,あたらしい,新しい,new,iadj,新しい コンピュータを かいました。I bought a new computer.,atarashii,1
55,あちら,,there,direction,いりぐちは あちらです。The entrance is over there.,achira,1
56,あつい,厚い,"kind, deep, thick",iadj,きょうは あついですね。It's hot today.,atsui,1
57,あつい,暑い,hot,iadj,きょうは あついですね。It's hot today.,atsui,1
58,あつい,熱い,hot to the touch,iadj,きょうは あついですね。It's hot today.,atsui,1
59,あっち,,over there,direction,,atchi,1
60,あと,後,afterwards,time,あさごはんの 後で さんぽをします。I will take a walk after breakfast.,ato,1
61,あなた,,you,atomic,,anata,1
62,あに,兄,(humble) older brother,people,あには イギリスに います。My brother is in England.,ani,1
63,あね,姉,(humble) older sister,people,あねは フランスに います。My sister is in France.,ane,1
64,あの,,that over there,atomic,あのひとは だれですか。Who is that person?,ano,1
65,あのう,,"Excuse me., Well, Let me see.",sentence,,anou,1
66,アパート,,apartment,places,わたしは ふるいアパートにすんでいます。I live in an old apartment.,apaato,1
67,あびる,,"to bathe, to shower",action,あさ シャワーを あびます。 Take a shower in the morning.,Abiru,1
68,あぶない,危ない,dangerous,iadj,ここは あぶないですよ。It's dangerous here.,abunai,1
69,あまい,甘い,sweet,iadj,このケーキは とても あまいです。This cake is very sweet.,amai,1
70,あまり,,not very,atomic,あまり ほんを よみません。I don't read many books.,amari,1
71,あめ,雨,rain,nature,ごごは たぶん 雨が ふります。It will probably rain in the afternoon.,ame,1
72,あめ,飴,candy,nature,ごごは たぶん 雨が ふります。It will probably rain in the afternoon.,ame,1
73,アメリカ,,The United States of America,places,あには アメリカに いきました。My brother went to America.,Amerika,1
74,あらう,洗う,to wash,action,ここで てを あらいます。 Wash your hands here.,arau,1
75,ありがとうございます。,,Thank you very much.,sentence,,arigatougozaimasu,1
76,ある,,"to be, to have (used for inanimate objects)",action,はこの なかに りんごが ななつ あります。There are seven apples in the box. わたしは きょう じかんが あります。I have time today.,aru,1
77,あるく,歩く,to walk,action,きのうは オフィスから うちまで あるきました。I walked from the office to my house yesterday.,aruku,2
78,あれ,,that,atomic,あれは なんですか。What is that?,are,1
79,いい,,good [i-adj.],iadj,この アプリは とても いいです。This app is very nice.,ii,2
80,いい/よい,,good,action,もういちど 言います。I will say it again.,ii/yoi,2
81,いいえ,,no,sentence,,iie,1
82,いう,言う,to say,action,,iu,2
83,いえ,家,house,places,家の なかは あたたかいです。The inside of the house is warm.,ie,1
84,いかが,,how,atomic,,ikaga,1
85,いく,行く,to go,action,じてんしゃで がっこうに 行きます。I go to school by bicycle.,iku,2
86,いくつ,,"how many?, how old?",atomic,れいぞうこの なかに たまごが いくつ ありますか。How many eggs are there in the fridge?,ikutsu,1
87,いくら,,how much?,atomic,これは いくらですか。How much is this?,ikura,1
88,いけ,池,pond,nature,いけの なかに きれいな さかなが います。There are beautiful fish in the pond.,ike,1
89,いしゃ,医者,medical doctor,people,ちちは いしゃです。My father is a doctor.,isha,1
90,いす,,chair,home,このいすは たかかったです。This chair was expensive.,isu,1
91,いそがしい,忙しい,"busy, irritated",iadj,このごろ まいにち いそがしいです。I'm busy these days.,isogashii,2
92,いたい,痛い,painful,iadj,きょうは すこし あたまが いたいです。I have a slight headache today.,itai,2
93,いただきます。,,Let's eat! (saying this before having a meal.),sentence,,itadakimasu,1
94,いち,一,one,unit,"いち、に、さん、し、ご・・・one, two, three, four, five...",ichi,3
95,いちど,一度,once,unit,もう一ど いってください。Say that once more please.,ichido,3
96,いちにち,一日,"(1) one day, (2) first of month",unit,きのうは 一日 うちに いました。I was at home all day yesterday.,ichinichi,3
97,いちばん,,"best, first",unit,一ばん いいものを えらびます。Choose the best one.,ichiban,3
98,いつ,,when,time,いつ とうきょうに いきますか。When are you going to Tokyo?,itsu,1
99,いつか,五日,"five days, fifth day",unit,きょうは 五日です。Today is the 5th.,itsuka,3
100,いっしょ,一緒,together,atomic,ともだちと いっしょに がっこうに いきます。I will go to school with my friends.,issho,1
101,いつつ,五つ,five,unit,りんごは 五つ 400えんです。Five apples cost 400 yen.,itsutsu,3
102,いってきます。,,"I am going., I am leaving.",sentence,,ittekimasu,1
103,いつも,,always,atomic,いつも けいたいでんわをもっています。I always have a mobile phone.,itsumo,2
104,いぬ,犬,dog,nature,,inu,1
105,いま,今,now,time,今 なんじですか。What time is it now?,ima,1
106,いみ,意味,meaning,intangible,おなじ いみのぶんは どれですか。Which sentences have the same meaning?,imi,1
107,いもうと,妹,(humble) younger sister,people,いもうとは いま いえに いません。My sister isn't at home right now.,imouto,1
108,いもうとさん,妹さん,(someone's) younger sister,people,いもうとさんは どこに いますか。Where is your sister?,imoutosan,1
109,いや,嫌,unpleasant,naadj,いやな しごとも あります。There are also unpleasant jobs.,iya,1
110,いらっしゃいませ。,,"May I help you? (at restaurant, shop)",sentence,,irasshaimase,1
111,いりぐち,入口,entrance,direction,入口は どこですか。Where is the entrance?,iriguchi,1
